id,name,difficulty
108,주변 마을 행사에서 새로운 사람 만나기,보통
109,친구와 함께하는 음악 감상 모임 참여하기,보통
110,지역 커뮤니티 센터에서 요가 클래스 수강하기,보통
111,주변 공원에서 친구와 함께 운동하기,보통
112,지역 축제에서 전통 춤 배우기,보통
113,친구와 함께하는 정기적인 산책 모임 가지기,보통
114,지역 봉사 단체에 가입하여 활동하기,보통
115,주변 마을 행사에서 음식 만들기 참여하기,보통
116,친구와 함께하는 공원에서의 독서 시간 가지기,보통
117,지역 커뮤니티 센터에서 열린 건강 세미나 참석하기,보통
118,주변 공원에서 친구들과 함께 운동하기,보통
119,지역 축제에서 가족과 함께 즐기기,보통
120,친구와 함께하는 공원에서의 사진 찍기,보통
121,지역 도서관에서 열린 작가 강연 참석하기,보통
122,주변 공원에서 친구들과 함께 자전거 타기,어려움
123,지역 커뮤니티 센터에서 요리 클래스 수강하기,보통
124,친구와 함께하는 정기적인 운동 계획 세우기,보통
125,주변 마을 행사에서 새로운 취미 배우기,보통
126,지역 봉사 단체에서 자원봉사 활동 참여하기,보통
127,친구와 함께하는 공원에서의 명상 시간 가지기,보통
128,지역 커뮤니티 센터에서 열리는 공예 클래스 참여하기,보통
129,주변 공원에서 친구들과 함께 게임 즐기기,보통
130,지역 축제에서 전통 음식 만들기 참여하기,보통
131,친구와 함께하는 공원에서의 음악 감상 시간 가지기,보통
132,지역 도서관에서 열린 영화 상영회 참석하기,보통
133,주변 공원에서 친구들과 함께 운동하기,보통
134,지역 커뮤니티 센터에서 열리는 스포츠 클래스 참여하기,보통
135,친구와 함께하는 정기적인 영화 관람 모임 가지기,보통
136,지역 봉사 단체에서 공동 프로젝트 참여하기,보통
137,주변 마을 행사에서 전통 의상 체험하기,보통
138,친구와 함께하는 공원에서의 운동 후 대화하기,보통
139,지역 커뮤니티 센터에서 열린 공예 워크숍 참여하기,보통
140,주변 공원에서 친구들과 함께 운동하기,보통
141,지역 예술 축제에서 열린 음악회 참여하기,보통
142,온라인 독서 모임 시작하기,보통
143,지역 도서관에서 열린 저자와의 만남 참석하기,보통
144,주변 마을 행사에서 공동체 축제 참여하기,보통
145,친구와 함께하는 공원에서의 요가 클래스 참여하기,보통
146,지역 커뮤니티 센터에서 열리는 스포츠 이벤트 참여하기,보통
147,주변 공원에서 친구들과 함께 자전거 타기 (오프라인),어려움
148,지역 봉사 단체에서 정기적인 봉사 활동 참여하기 (오프라인),보통
149,친구와 함께하는 온라인 영화 감상 후 토론하기 (온라인),보통
150,지역 도서관에서 열린 작가와의 대화 참석하기 (오프라인),보통
