id,text,difficulty,type
68,좋아하는 TV 드라마 다시 보기,쉬움,효과지향 자기주도형
69,차 마시며 가벼운 독서하기,쉬움,효과지향 자기주도형
70,간단한 숫자 게임하기,쉬움,효과지향 자기주도형
71,차와 함께 쉬는 시간 가지기,쉬움,효과지향 자기주도형
72,간단한 바느질 하기,쉬움,효과지향 자기주도형
73,차 한잔과 함께 쉬기,쉬움,효과지향 자기주도형
74,좋아하는 향수 사용하기,쉬움,효과지향 자기주도형
75,간단한 재봉 활동하기,쉬움,효과지향 자기주도형
76,좋아하는 향기 맡기,쉬움,효과지향 자기주도형
77,차 마시며 음악 감상하기,쉬움,효과지향 자기주도형
78,간단한 손쉽게 할 수 있는 공예,쉬움,효과지향 자기주도형
79,좋아하는 책의 일부분 다시 읽기,쉬움,효과지향 자기주도형
80,차 마시며 감상하기,쉬움,효과지향 자기주도형
81,간단한 그림 그리기,쉬움,효과지향 자기주도형
82,친구와 커피 약속하기,쉬움,효과지향 자기주도형
83,감정 일기 쓰기,쉬움,효과지향 자기주도형
84,집안 정리정돈하기,쉬움,효과지향 자기주도형
85,좋아하는 프로그램 다시 보기,쉬움,효과지향 자기주도형
86,편안한 음악 연주하기,쉬움,효과지향 자기주도형
87,간단한 종이접기 배우기,쉬움,효과지향 자기주도형
88,좋아하는 시 낭독하기,쉬움,효과지향 자기주도형
89,가족과 추억 이야기 나누기,쉬움,효과지향 자기주도형
90,차 한잔과 함께 창밖 보기,쉬움,효과지향 자기주도형
91,간단한 요리 도와주기,쉬움,효과지향 자기주도형
92,좋아하는 음식 주문하기,쉬움,효과지향 자기주도형
93,차분한 색의 방 꾸미기,쉬움,효과지향 자기주도형
94,간단한 마사지 받기,쉬움,효과지향 자기주도형
95,좋아하는 꽃 꽂기,쉬움,효과지향 자기주도형
96,손 마사지하기,쉬움,효과지향 자기주도형
97,차 마시며 명상하기,쉬움,효과지향 자기주도형
98,좋아하는 영화 OST 듣기,쉬움,효과지향 자기주도형
99,차 마시며 책 읽기,쉬움,효과지향 자기주도형
100,좋아하는 책의 일부분 다시 읽기,쉬움,효과지향 자기주도형
101,요가 클래스 참여하기,보통,효과지향 자기주도형
102,미술 수업 듣기,보통,효과지향 자기주도형
103,정기적인 운동 루틴 만들기,보통,효과지향 자기주도형
104,가족 모임 주최하기,보통,효과지향 자기주도형
105,자원봉사 활동 참여하기,보통,효과지향 자기주도형
106,새로운 취미 배우기 (예: 악기 연주),보통,효과지향 자기주도형
107,정원 가꾸기 프로젝트 시작하기,보통,효과지향 자기주도형
108,온라인 강좌 수강하기,보통,효과지향 자기주도형
109,요리 교실 참여하기,보통,효과지향 자기주도형
110,책 동호회 가입하기,보통,효과지향 자기주도형
111,사진 찍기 취미 시작하기,보통,효과지향 자기주도형
112,새로운 언어 공부하기,보통,효과지향 자기주도형
113,문화 공연 관람하기,보통,효과지향 자기주도형
114,DIY 공예 프로젝트 하기,보통,효과지향 자기주도형
115,블로그나 SNS 운영하기,보통,효과지향 자기주도형
116,여행 계획 세우기,보통,효과지향 자기주도형
117,정기적인 독서 시간 가지기,보통,효과지향 자기주도형
118,명상 그룹 가입하기,보통,효과지향 자기주도형
119,음악 앨범 만들기,보통,효과지향 자기주도형
120,자서전 쓰기 시작하기,보통,효과지향 자기주도형
121,지역 봉사 활동 조직하기,보통,효과지향 자기주도형
122,지역 박물관 방문하기,보통,효과지향 자기주도형
123,정기적인 산책 모임 참여하기,보통,효과지향 자기주도형
124,아트 갤러리 방문하기,보통,효과지향 자기주도형
125,손뜨개 모임 참여하기,보통,효과지향 자기주도형
126,새로운 요리법 배우기,보통,효과지향 자기주도형
127,건강한 식단 계획하기,보통,효과지향 자기주도형
128,공예 시장 방문하기,보통,효과지향 자기주도형
129,사진 전시회 참여하기,보통,효과지향 자기주도형
130,문화 교류 행사 참여하기,보통,효과지향 자기주도형
131,지역 신문 기고하기,보통,효과지향 자기주도형
132,집 꾸미기 프로젝트 시작하기,보통,효과지향 자기주도형
133,새로운 친구 사귀기,보통,효과지향 자기주도형
134,역사 탐방하기,보통,효과지향 자기주도형
135,새로운 기술 기기 사용해보기,보통,효과지향 자기주도형
136,스마트폰 사용법 배우기,보통,효과지향 자기주도형
137,건강한 식사 준비하기,보통,효과지향 자기주도형
138,기초 공예 배우기,보통,효과지향 자기주도형
139,지역 축제 참여하기,보통,효과지향 자기주도형
140,책 읽고 토론하기,보통,효과지향 자기주도형
141,가족 역사 기록하기,보통,효과지향 자기주도형
142,지역 자연 보호 활동 참여하기,보통,효과지향 자기주도형
143,전통 음식 만들기,보통,효과지향 자기주도형
144,지역 공원 청소하기,보통,효과지향 자기주도형
145,지역 어린이 교육 지원하기,보통,효과지향 자기주도형
146,지역 동물 보호 활동 참여하기,보통,효과지향 자기주도형
147,지역 예술 전시회 준비하기,보통,효과지향 자기주도형
148,지역 음악회 준비하기,보통,효과지향 자기주도형
149,지역 박람회 참여하기,보통,효과지향 자기주도형
150,전통 공예 배우기,보통,효과지향 자기주도형
151,지역 축제 준비 봉사하기,어려움,효과지향 자기주도형
152,지역 전통 축제 참여하기,어려움,효과지향 자기주도형
153,지역 예술 작품 제작하기,어려움,효과지향 자기주도형
154,지역 음악 밴드 참여하기,어려움,효과지향 자기주도형
155,지역 청소년 활동 지원하기,어려움,효과지향 자기주도형
156,지역 축제 홍보 활동 참여하기,어려움,효과지향 자기주도형
157,지역 주민 대상 워크숍 개최하기,어려움,효과지향 자기주도형
158,역사 연구 그룹 참여하기,어려움,효과지향 자기주도형
159,지역 농산물 직거래 참여하기,어려움,효과지향 자기주도형
160,지역 음식 축제 참여하기,어려움,효과지향 자기주도형
161,걷기 대회 참가하기,어려움,효과지향 자기주도형
162,등산하기,어려움,효과지향 자기주도형
163,자전거 타기,어려움,효과지향 자기주도형
164,수영하기,어려움,효과지향 자기주도형
165,테니스 치기,어려움,효과지향 자기주도형
166,댄스 클래스 참여하기,어려움,효과지향 자기주도형
167,골프 치기,어려움,효과지향 자기주도형
168,조깅하기,어려움,효과지향 자기주도형
169,킥복싱 클래스 참여하기,어려움,효과지향 자기주도형
170,요가 매트에서의 동적 요가 하기,어려움,효과지향 자기주도형
171,실내 암벽 등반하기,어려움,효과지향 자기주도형
172,팀 스포츠 참여하기 (예: 배드민턴),어려움,효과지향 자기주도형
173,에어로빅 클래스 참여하기,어려움,효과지향 자기주도형
174,트램폴린 운동하기,어려움,효과지향 자기주도형
175,스케이트 타기,어려움,효과지향 자기주도형
176,하이킹 참여하기,어려움,효과지향 자기주도형
177,태권도 클래스 참여하기,어려움,효과지향 자기주도형
178,줄넘기 하기,어려움,효과지향 자기주도형
179,페인트볼 게임 참여하기,어려움,효과지향 자기주도형
180,프리스비 던지기,어려움,효과지향 자기주도형
181,카약 타기,어려움,효과지향 자기주도형
182,줄다리기 참여하기,어려움,효과지향 자기주도형
183,킥보드 타기,어려움,효과지향 자기주도형
184,댄스 파티 참석하기,어려움,효과지향 자기주도형
185,실내 자전거 타기,어려움,효과지향 자기주도형
186,줄넘기 클래스 참여하기,어려움,효과지향 자기주도형
187,보트 타기,어려움,효과지향 자기주도형
188,배드민턴 경기하기,어려움,효과지향 자기주도형
189,트레킹 참여하기,어려움,효과지향 자기주도형
190,스포츠 클라이밍 하기,어려움,효과지향 자기주도형
191,줄넘기 운동하기,어려움,효과지향 자기주도형
192,퍼포먼스 댄스 참여하기,어려움,효과지향 자기주도형
193,스포츠 댄스 배우기,어려움,효과지향 자기주도형
194,하이브리드 피트니스 클래스 참여하기,어려움,효과지향 자기주도형
195,스피닝 클래스 참여하기,어려움,효과지향 자기주도형
196,스포츠 체조 배우기,어려움,효과지향 자기주도형
197,퍼레이드 참여하기,어려움,효과지향 자기주도형
198,스포츠 게임 참여하기,어려움,효과지향 자기주도형
199,런닝 클럽 가입하기,어려움,효과지향 자기주도형
200,실내 스크린 골프 하기,어려움,효과지향 자기주도형
201,아침 요가 스트레칭,쉬움,동기중심 준비형
202,취미 사진 촬영,쉬움,동기중심 준비형
203,가벼운 정원 가꾸기,쉬움,동기중심 준비형
204,친구와 전화 통화하기,쉬움,동기중심 준비형
205,간단한 그림 그리기,쉬움,동기중심 준비형
206,차 한잔하며 대화 나누기,쉬움,동기중심 준비형
207,실내 퍼즐 맞추기,쉬움,동기중심 준비형
208,좋아하는 음악 감상하기,쉬움,동기중심 준비형
209,간단한 요리하기,쉬움,동기중심 준비형
210,독서 클럽 참여하기,쉬움,동기중심 준비형
211,손뜨개 배우기,쉬움,동기중심 준비형
212,애완동물 돌보기,쉬움,동기중심 준비형
213,간단한 종이접기,쉬움,동기중심 준비형
214,일기 쓰기,쉬움,동기중심 준비형
215,가족과 추억 이야기하기,쉬움,동기중심 준비형
216,편안한 산책하기,쉬움,동기중심 준비형
217,차 마시며 명상하기,쉬움,동기중심 준비형
218,실내 식물 관리하기,쉬움,동기중심 준비형
219,좋아하는 영화 보기,쉬움,동기중심 준비형
220,가벼운 스트레칭,쉬움,동기중심 준비형
221,지역 도서관 방문하기,쉬움,동기중심 준비형
222,사진 앨범 정리하기,쉬움,동기중심 준비형
223,간단한 바느질 하기,쉬움,동기중심 준비형
224,친구와 함께 게임하기,쉬움,동기중심 준비형
225,편안한 음악 연주하기,쉬움,동기중심 준비형
226,가벼운 체조하기,쉬움,동기중심 준비형
227,가족 사진 정리하기,쉬움,동기중심 준비형
228,취미 공예 활동하기,쉬움,동기중심 준비형
229,차 마시며 창밖 보기,쉬움,동기중심 준비형
230,간단한 색칠 공부 하기,쉬움,동기중심 준비형
231,좋아하는 노래 따라 부르기,쉬움,동기중심 준비형
232,손 마사지하기,쉬움,동기중심 준비형
233,편안한 목욕하기,쉬움,동기중심 준비형
234,가벼운 다리 운동하기,쉬움,동기중심 준비형
235,좋아하는 향초 켜기,쉬움,동기중심 준비형
236,친구와 커피 약속하기,쉬움,동기중심 준비형
237,차 마시며 책 읽기,쉬움,동기중심 준비형
238,간단한 퍼즐 맞추기,쉬움,동기중심 준비형
239,감정 일기 쓰기,쉬움,동기중심 준비형
240,집안 정리정돈하기,쉬움,동기중심 준비형
241,손쉽게 할 수 있는 공예,쉬움,동기중심 준비형
242,좋아하는 향기 맡기,쉬움,동기중심 준비형
243,실내 자전거 타기,쉬움,동기중심 준비형
244,간단한 손놀림 게임하기,쉬움,동기중심 준비형
245,좋아하는 음식 먹기,쉬움,동기중심 준비형
246,간단한 재봉 활동하기,쉬움,동기중심 준비형
247,차 마시며 음악 감상하기,쉬움,동기중심 준비형
248,친구와 함께 산책하기,쉬움,동기중심 준비형
249,간단한 종이 공예 하기,쉬움,동기중심 준비형
250,손편지 쓰기,쉬움,동기중심 준비형
251,요가 클래스 참여하기,보통,동기중심 준비형
252,미술 수업 듣기,보통,동기중심 준비형
253,정기적인 운동 루틴 만들기,보통,동기중심 준비형
254,가족 모임 주최하기,보통,동기중심 준비형
255,자원봉사 활동 참여하기,보통,동기중심 준비형
256,새로운 취미 배우기 (예: 악기 연주),보통,동기중심 준비형
257,정원 가꾸기 프로젝트 시작하기,보통,동기중심 준비형
258,온라인 강좌 수강하기,보통,동기중심 준비형
259,요리 교실 참여하기,보통,동기중심 준비형
260,책 동호회 가입하기,보통,동기중심 준비형
261,사진 찍기 취미 시작하기,보통,동기중심 준비형
262,새로운 언어 공부하기,보통,동기중심 준비형
263,문화 공연 관람하기,보통,동기중심 준비형
264,DIY 공예 프로젝트 하기,보통,동기중심 준비형
265,블로그나 SNS 운영하기,보통,동기중심 준비형
266,여행 계획 세우기,보통,동기중심 준비형
267,정기적인 독서 시간 가지기,보통,동기중심 준비형
268,명상 그룹 가입하기,보통,동기중심 준비형
269,음악 앨범 만들기,보통,동기중심 준비형
270,자서전 쓰기 시작하기,보통,동기중심 준비형
271,지역 봉사 활동 조직하기,보통,동기중심 준비형
272,지역 박물관 방문하기,보통,동기중심 준비형
273,정기적인 산책 모임 참여하기,보통,동기중심 준비형
274,아트 갤러리 방문하기,보통,동기중심 준비형
275,손뜨개 모임 참여하기,보통,동기중심 준비형
276,새로운 요리법 배우기,보통,동기중심 준비형
277,건강한 식단 계획하기,보통,동기중심 준비형
278,공예 시장 방문하기,보통,동기중심 준비형
279,사진 전시회 참여하기,보통,동기중심 준비형
280,문화 교류 행사 참여하기,보통,동기중심 준비형
281,지역 신문 기고하기,보통,동기중심 준비형
282,집 꾸미기 프로젝트 시작하기,보통,동기중심 준비형
283,새로운 친구 사귀기,보통,동기중심 준비형
284,역사 탐방하기,보통,동기중심 준비형
285,새로운 기술 기기 사용해보기,보통,동기중심 준비형
286,스마트폰 사용법 배우기,보통,동기중심 준비형
287,건강한 식사 준비하기,보통,동기중심 준비형
288,기초 공예 배우기,보통,동기중심 준비형
289,지역 축제 참여하기,보통,동기중심 준비형
290,책 읽고 토론하기,보통,동기중심 준비형
291,가족 역사 기록하기,보통,동기중심 준비형
292,지역 자연 보호 활동 참여하기,보통,동기중심 준비형
293,전통 음식 만들기,보통,동기중심 준비형
294,지역 공원 청소하기,보통,동기중심 준비형
295,지역 어린이 교육 지원하기,보통,동기중심 준비형
296,지역 동물 보호 활동 참여하기,보통,동기중심 준비형
297,지역 예술 전시회 준비하기,보통,동기중심 준비형
298,지역 음악회 준비하기,보통,동기중심 준비형
299,지역 박람회 참여하기,보통,동기중심 준비형
300,전통 공예 배우기,보통,동기중심 준비형
301,지역 축제 준비 봉사하기,보통,동기중심 준비형
302,지역 전통 축제 참여하기,보통,동기중심 준비형
303,지역 예술 작품 제작하기,보통,동기중심 준비형
304,지역 음악 밴드 참여하기,보통,동기중심 준비형
305,지역 청소년 활동 지원하기,보통,동기중심 준비형
306,지역 축제 홍보 활동 참여하기,보통,동기중심 준비형
307,지역 주민 대상 워크숍 개최하기,보통,동기중심 준비형
308,역사 연구 그룹 참여하기,보통,동기중심 준비형
309,지역 농산물 직거래 참여하기,보통,동기중심 준비형
310,지역 음식 축제 참여하기,보통,동기중심 준비형
311,걷기 대회 참가하기,어려움,동기중심 준비형
312,등산하기,어려움,동기중심 준비형
313,자전거 타기,어려움,동기중심 준비형
314,수영하기,어려움,동기중심 준비형
315,테니스 치기,어려움,동기중심 준비형
316,댄스 클래스 참여하기,어려움,동기중심 준비형
317,골프 치기,어려움,동기중심 준비형
318,조깅하기,어려움,동기중심 준비형
319,킥복싱 클래스 참여하기,어려움,동기중심 준비형
320,요가 매트에서의 동적 요가 하기,어려움,동기중심 준비형
321,실내 암벽 등반하기,어려움,동기중심 준비형
322,팀 스포츠 참여하기 (예: 배드민턴),어려움,동기중심 준비형
323,에어로빅 클래스 참여하기,어려움,동기중심 준비형
324,트램폴린 운동하기,어려움,동기중심 준비형
325,스케이트 타기,어려움,동기중심 준비형
326,하이킹 참여하기,어려움,동기중심 준비형
327,태권도 클래스 참여하기,어려움,동기중심 준비형
328,줄넘기 하기,어려움,동기중심 준비형
329,페인트볼 게임 참여하기,어려움,동기중심 준비형
330,프리스비 던지기,어려움,동기중심 준비형
331,카약 타기,어려움,동기중심 준비형
332,줄다리기 참여하기,어려움,동기중심 준비형
333,킥보드 타기,어려움,동기중심 준비형
334,댄스 파티 참석하기,어려움,동기중심 준비형
335,실내 자전거 타기,어려움,동기중심 준비형
336,줄넘기 클래스 참여하기,어려움,동기중심 준비형
337,보트 타기,어려움,동기중심 준비형
338,배드민턴 경기하기,어려움,동기중심 준비형
339,트레킹 참여하기,어려움,동기중심 준비형
340,스포츠 클라이밍 하기,어려움,동기중심 준비형
341,줄넘기 운동하기,어려움,동기중심 준비형
342,퍼포먼스 댄스 참여하기,어려움,동기중심 준비형
343,스포츠 댄스 배우기,어려움,동기중심 준비형
344,하이브리드 피트니스 클래스 참여하기,어려움,동기중심 준비형
345,스피닝 클래스 참여하기,어려움,동기중심 준비형
346,스포츠 체조 배우기,어려움,동기중심 준비형
347,퍼레이드 참여하기,어려움,동기중심 준비형
348,스포츠 게임 참여하기,어려움,동기중심 준비형
349,런닝 클럽 가입하기,어려움,동기중심 준비형
350,실내 스크린 골프 하기,어려움,동기중심 준비형
351,도자기 공예 배우기,보통,동기중심 준비형
352,지역 역사 탐방 투어 참여,보통,동기중심 준비형
353,재즈 댄스 클래스 참여,어려움,동기중심 준비형
354,비디오 편집 배우기,보통,동기중심 준비형
355,지역 스포츠 팀 응원하기,보통,동기중심 준비형
356,테라스 가꾸기,쉬움,동기중심 준비형
357,요리 레시피 개발하기,보통,동기중심 준비형
358,가족 나들이 계획하기,보통,동기중심 준비형
359,음악회 자원봉사하기,보통,동기중심 준비형
360,지역 도예 공방 방문하기,보통,동기중심 준비형
361,스마트 홈 기기 설정하기,보통,동기중심 준비형
362,주말 시장 방문하기,쉬움,동기중심 준비형
363,도시 자전거 투어 참여,어려움,동기중심 준비형
364,스포츠 경기 관람하기,보통,동기중심 준비형
365,사진 편집 소프트웨어 배우기,보통,동기중심 준비형
366,온라인 게임 클럽 참여,보통,동기중심 준비형
367,지역 연극 관람하기,보통,동기중심 준비형
368,미니 골프 치기,어려움,동기중심 준비형
369,수공예품 판매하기,보통,동기중심 준비형
370,지역 신문 기자 참여,보통,동기중심 준비형
371,비즈니스 카드 만들기,보통,동기중심 준비형
372,오래된 친구와 재회하기,쉬움,동기중심 준비형
373,아로마 테라피 배우기,보통,동기중심 준비형
374,차량 정비 기초 배우기,보통,동기중심 준비형
375,디지털 사진 앨범 만들기,보통,동기중심 준비형
376,지역 커뮤니티 센터 활동 참여,보통,동기중심 준비형
377,블루투스 스피커 사용하기,보통,동기중심 준비형
378,피아노 배우기,어려움,동기중심 준비형
379,수공예 목걸이 만들기,보통,동기중심 준비형
380,지역 도서 기부 활동 참여,보통,동기중심 준비형
381,버스 운전 체험하기,어려움,동기중심 준비형
382,다리 만들기 공모전 참여,어려움,동기중심 준비형
383,방송 청취 모임 참여,보통,동기중심 준비형
384,플로리스트 워크숍 참여,보통,동기중심 준비형
385,공동 정원 가꾸기,보통,동기중심 준비형
386,지역 동호회 리더 되기,보통,동기중심 준비형
387,어린이 그림 그리기 지도,보통,동기중심 준비형
388,전통 음악 배우기,어려움,동기중심 준비형
389,스마트폰 사진 찍기,보통,동기중심 준비형
390,지역 역사 기록 프로젝트 참여,보통,동기중심 준비형
391,아웃도어 영화 상영 참여,보통,동기중심 준비형
392,지역 축제 음식 판매,어려움,동기중심 준비형
393,가족 영화를 제작하기,어려움,동기중심 준비형
394,지역 미술 교실 운영하기,보통,동기중심 준비형
395,지역 청소 캠페인 참여,보통,동기중심 준비형
396,주말 농장 체험하기,어려움,동기중심 준비형
397,스포츠 이벤트 조직하기,어려움,동기중심 준비형
398,지역 방과 후 프로그램 지원,보통,동기중심 준비형
399,전통 의상 입어보기,보통,동기중심 준비형
400,지역 문화 유산 보호 활동 참여,보통,동기중심 준비형
401,아침 명상하기,쉬움,정서중심 활력형
402,좋아하는 음악 듣기,쉬움,정서중심 활력형
403,가벼운 산책하기,쉬움,정서중심 활력형
404,친구와 전화 통화하기,쉬움,정서중심 활력형
405,간단한 그림 그리기,쉬움,정서중심 활력형
406,차 한잔하며 대화 나누기,쉬움,정서중심 활력형
407,실내 퍼즐 맞추기,쉬움,정서중심 활력형
408,독서 시간 가지기,쉬움,정서중심 활력형
409,가족과 추억 이야기하기,쉬움,정서중심 활력형
410,손뜨개 배우기,쉬움,정서중심 활력형
411,애완동물과 시간 보내기,쉬움,정서중심 활력형
412,간단한 요리하기,쉬움,정서중심 활력형
413,사진 앨범 정리하기,쉬움,정서중심 활력형
414,일기 쓰기,쉬움,정서중심 활력형
415,편안한 음악 감상하기,쉬움,정서중심 활력형
416,실내 식물 돌보기,쉬움,정서중심 활력형
417,좋아하는 영화 보기,쉬움,정서중심 활력형
418,가벼운 스트레칭,쉬움,정서중심 활력형
419,지역 도서관 방문하기,쉬움,정서중심 활력형
420,간단한 종이접기,쉬움,정서중심 활력형
421,친구와 함께 게임하기,쉬움,정서중심 활력형
422,편안한 목욕하기,쉬움,정서중심 활력형
423,가벼운 다리 운동하기,쉬움,정서중심 활력형
424,좋아하는 향초 켜기,쉬움,정서중심 활력형
425,친구와 커피 약속하기,쉬움,정서중심 활력형
426,차 마시며 책 읽기,쉬움,정서중심 활력형
427,간단한 색칠 공부 하기,쉬움,정서중심 활력형
428,좋아하는 노래 따라 부르기,쉬움,정서중심 활력형
429,손 마사지하기,쉬움,정서중심 활력형
430,가족 사진 정리하기,쉬움,정서중심 활력형
431,취미 공예 활동하기,쉬움,정서중심 활력형
432,편안한 대화 시간 가지기,쉬움,정서중심 활력형
433,지역 행사 참여하기,쉬움,정서중심 활력형
434,간단한 손놀림 게임하기,쉬움,정서중심 활력형
435,좋아하는 음식 먹기,쉬움,정서중심 활력형
436,차 마시며 명상하기,쉬움,정서중심 활력형
437,실내 자전거 타기,쉬움,정서중심 활력형
438,손편지 쓰기,쉬움,정서중심 활력형
439,감정 일기 쓰기,쉬움,정서중심 활력형
440,집안 정리정돈하기,쉬움,정서중심 활력형
441,손쉽게 할 수 있는 공예,쉬움,정서중심 활력형
442,좋아하는 향기 맡기,쉬움,정서중심 활력형
443,취미 독서하기,쉬움,정서중심 활력형
444,가족과 함께 요리하기,쉬움,정서중심 활력형
445,실내 게임 즐기기,쉬움,정서중심 활력형
446,차 마시며 창밖 보기,쉬움,정서중심 활력형
447,가벼운 체조하기,쉬움,정서중심 활력형
448,좋아하는 시 낭독하기,쉬움,정서중심 활력형
449,친구와 산책하기,쉬움,정서중심 활력형
450,간단한 종이 공예 하기,쉬움,정서중심 활력형
451,요가 클래스 참여하기,보통,정서중심 활력형
452,미술 수업 듣기,보통,정서중심 활력형
453,정기적인 운동 루틴 만들기,보통,정서중심 활력형
454,가족 모임 주최하기,보통,정서중심 활력형
455,자원봉사 활동 참여하기,보통,정서중심 활력형
456,새로운 취미 배우기 (예: 악기 연주),보통,정서중심 활력형
457,정원 가꾸기 프로젝트 시작하기,보통,정서중심 활력형
458,온라인 강좌 수강하기,보통,정서중심 활력형
459,요리 교실 참여하기,보통,정서중심 활력형
460,책 동호회 가입하기,보통,정서중심 활력형
461,사진 찍기 취미 시작하기,보통,정서중심 활력형
462,새로운 언어 공부하기,보통,정서중심 활력형
463,문화 공연 관람하기,보통,정서중심 활력형
464,DIY 공예 프로젝트 하기,보통,정서중심 활력형
465,블로그나 SNS 운영하기,보통,정서중심 활력형
466,여행 계획 세우기,보통,정서중심 활력형
467,정기적인 독서 시간 가지기,보통,정서중심 활력형
468,명상 그룹 가입하기,보통,정서중심 활력형
469,음악 앨범 만들기,보통,정서중심 활력형
470,자서전 쓰기 시작하기,보통,정서중심 활력형
471,지역 봉사 활동 조직하기,보통,정서중심 활력형
472,지역 박물관 방문하기,보통,정서중심 활력형
473,정기적인 산책 모임 참여하기,보통,정서중심 활력형
474,아트 갤러리 방문하기,보통,정서중심 활력형
475,손뜨개 모임 참여하기,보통,정서중심 활력형
476,새로운 요리법 배우기,보통,정서중심 활력형
477,건강한 식단 계획하기,보통,정서중심 활력형
478,공예 시장 방문하기,보통,정서중심 활력형
479,사진 전시회 참여하기,보통,정서중심 활력형
480,문화 교류 행사 참여하기,보통,정서중심 활력형
481,지역 신문 기고하기,보통,정서중심 활력형
482,집 꾸미기 프로젝트 시작하기,보통,정서중심 활력형
483,새로운 친구 사귀기,보통,정서중심 활력형
484,역사 탐방하기,보통,정서중심 활력형
485,새로운 기술 기기 사용해보기,보통,정서중심 활력형
486,스마트폰 사용법 배우기,보통,정서중심 활력형
487,건강한 식사 준비하기,보통,정서중심 활력형
488,기초 공예 배우기,보통,정서중심 활력형
489,지역 축제 참여하기,보통,정서중심 활력형
490,책 읽고 토론하기,보통,정서중심 활력형
