연번,시도,기관명,주소,전화번호,운영주체,법인유형
32,경기,광교종합사회복지관,경기도 수원시 영통구 대학2로 41,031-212-7255,꿈행복나눔재단,재단법인
33,경기,구리시종합사회복지관,경기도 구리시 벌말로129번길 50,031-556-8100,삼육재단,사회복지법인
34,경기,군포시가야종합사회복지관,"경기도 군포시 번영로 331-1, 2층",031-395-4894,한국기독교청년회전국연맹유지재단(군포YMCA),재단법인
35,경기,군포시매화종합사회복지관,경기도 군포시 곡란로22,031-393-3677,연꽃마을,사회복지법인
36,경기,군포시주몽종합사회복지관,"경기도 군포시 광정로 122(산본동, 주몽10단지 내)",031-398-4781,한기장복지재단,사회복지법인
37,경기,김포시제2종합사회복지관,경기도 김포시 통진읍 마송리 502,031-996-0150,김포복지재단,재단법인
38,경기,김포시종합사회복지관,경기도 김포시 사우중로 100,031-989-8271,나눔과섬김,사단법인
39,경기,남양주시남부희망케어센터,경기도 남양주시 와부 월문천로35 별관 1층,031-593-9024,남양주시복지재단,재단법인
40,경기,남양주시동부희망케어센터,경기도 남양주시 화도읍 경춘로달뫼1길 20-8,031-511-1062,남양주시복지재단,재단법인
41,경기,남양주시북부희망케어센터,경기도 남양주시 진접읍 금강로1509-26 진접오남행정복지센터 복지동 1층,031-528-4071,남양주시복지재단,재단법인
42,경기,남양주시서부희망케어센터,경기도 남양주시 다산중앙로123번길 47 다산메트로 3단지 3301동,031-551-2645,남양주시복지재단,재단법인
43,경기,녹양종합사회복지관,경기도 의정부시 체육로 254,031-826-7400,사랑교육복지재단,사회복지법인
44,경기,능실종합사회복지관,경기도 수원시 권선구 호매실로 166번길 10,031-291-8475,힘찬동네,사단법인
45,경기,대산종합사회복지관,"경기도 부천시 심곡로9번길 54, 5층",032-665-6061,기독교대한감리회 사회복지재단,사회복지법인
46,경기,도촌종합사회복지관,경기도 성남시 중원구 도촌북로 92,031-720-8500,여의도순복음연합,재단법인
47,경기,만안종합사회복지관,경기도 안양시 만안구 박달로 547-1,031-464-9701,돕는사람들,사회복지법인
48,경기,범안종합사회복지관,경기도 부천시 범안로129번길 17 2층,032-719-8180,한국재활복지회,사단법인
49,경기,본오종합사회복지관,경기도 안산시 상록구 이호로 39,031-438-8321,천주교수원교구사회복지회,사회복지법인
50,경기,부곡종합사회복지관,경기도 안산시 상록구 성호로 303,031-417-3677,연꽃마을,사회복지법인
51,경기,부락종합사회복지관,경기도 평택시 서정로303,031-611-4820,천주교 수원교구 사회복지회,사회복지법인
52,경기,산성종합사회복지관,경기도 성남시 수정구 수정남로 306번길 15-16,031-746-0453,새날복지회,사단법인
53,경기,분당종합사회복지관,경기도 성남시 분당구 정자일로 33,031-715-1063,분당사회관,사회복지법인(직영)
54,경기,삼정종합사회복지관,경기도 부천시 삼작로 52,032-323-3162,한국장로교복지재단,사회복지법인
55,경기,성남위례종합사회복지관,경기도 성남시 수정구 위례광장로 311,031-758-0701,미래복지경영,사단법인
56,경기,소사본종합사회복지관,경기도 부천시 호현로 489번길 50,032-349-3100,서울신학대학교,학교법인(직영)
57,경기,시립광명종합사회복지관,경기도 광명시 오리로 1018,02-2687-2921,사랑나눔복지공동체,사단법인
58,경기,시흥시대야종합사회복지관,경기도 시흥시 호현로 55,031-404-8112,시흥시자원봉사단체협의회,사단법인
59,경기,시흥시목감종합사회복지관,경기도 시흥시 목감초등길 45,031-403-0110,천주교수원교구 사회복지회,사회복지법인
60,경기,시흥시장곡종합사회복지관,경기도 시흥시 동서장곡길 55,031-380-5446,시흥시,지자체(직영)
61,경기,시흥시정왕종합사회복지관,경기도 시흥시 정왕대로 233번길 27(정왕동 1800-8),031-319-6195,열린자리,사회복지법인
62,경기,신중동종합사회복지관,경기도 부천시 도약로 146 1단지관리사무소 건물 2층 복지관,032-325-2161,룸비니,사회복지법인
63,경기,심곡동종합사회복지관,"경기도 부천시 장말로 351번길 9, 3층 심곡동종합사회복지관",032-612-0726,인천가톨릭사회복지회,사회복지법인
64,경기,안산시선부종합사회복지관,경기도 안산시 단원구 화정로9,031-410-6070,기독교대한감리회 사회복지재단,사회복지법인
65,경기,안산시와동종합사회복지관,경기도 안산시 단원구 와동로 118,031-475-4321,굿프랜드복지재단,사회복지법인
66,경기,안산시초지종합사회복지관,경기도 안산시 단원구 원초로76,031-410-2151,강물,사회복지법인
67,경기,안성종합사회복지관,경기도 안성시 산수유길 15,031-671-0631,성결원,사회복지법인(직영)
68,경기,안양시부흥종합사회복지관,경기도 안양시 동안구 달안로39,031-382-7557,한국장로교복지재단,사회복지법인
69,경기,안양시비산종합사회복지관,경기도 안양시 동안구 임곡로 74,031-446-5936,위니버스,사단법인
70,경기,안양시율목종합사회복지관,경기도 안양시 만안구 병목안로 130번길 166,031-466-9125,기독교대한감리회사회복지재,사회복지법인
71,경기,양주시옥정종합사회복지관,경기도 양주시 옥정동로258(천년나무8단지 입구),031-868-9072,서정대학교 산학협력단,학교법인
72,경기,양평군종합사회복지관,경기도 양평군 용문면 용문역길67,031-775-7741,대한불교조계종사회복지재단,사회복지법인
73,경기,연무사회복지관,경기도 수원특례시 장안구 창룡대로 151번길 8,031-245-7576,경기사회봉사회,사회복지법인
74,경기,영통종합사회복지관,경기도 수원시 영통구 반달로 45,031-201-8300,대한불교조계종사회복지재단,사회복지법인
75,경기,오산남부종합사회복지관,경기도 오산시 오산로 132번길 28-5,031-376-6193,오산예일,사단법인
76,경기,오산세교종합사회복지관,"경기도 오산시 수청로192, 4층",031-290-8501,세교복지재단,사회복지법인
77,경기,오산종합사회복지관,경기도 오산시 현충로 104,031-378-2740,한신대학교 산학협력단,학교법인
78,경기,오정종합사회복지관,경기도 부천시 성오로 149번길 18,032-677-0108,룸비니,사회복지법인
79,경기,용인종합사회복지관,경기도 용인시 처인구 이동읍 이원로 69-8,031-334-9966,혜린,사회복지법인(직영)
80,경기,우만종합사회복지관,경기도 수원시 팔달구 창룡대로210번길 13,031-254-1992,천주교수원교구사회복지회,사회복지법인
81,경기,월드비전 성남종합사회복지관,경기도 성남시 중원구 금빛로89,031-748-7151,월드비전,사회복지법인(직영)
82,경기,은행종합사회복지관,경기도 성남시 중원구 산성대로 518번길 30,031-743-7300,굿패밀리복지재단,사회복지법인
83,경기,작은자리종합사회복지관,경기도 시흥시 시흥대로 1087,031-313-6249,복음자리,사회복지법인(직영)
84,경기,장암종합사회복지관,경기도 의정부시 회룡로192번길 11(장암동),031-874-8081,한국기독교청년회전국연맹유지재단,재단법인
85,경기,중탑종합사회복지관,경기도 성남시 판교로 607,031-706-0167,할렐루야복지재단,사회복지법인
86,경기,철산종합사회복지관,경기도 광명시 연서일로 4-3,02-2617-0410,대한불교조계종사회복지재단,사회복지법인
87,경기,청솔종합사회복지관,경기도 성남시 분당구 미금로 246,031-714-6333,대한불교천태종복지재단,사회복지법인
88,경기,춘의종합사회복지관,경기도 부천시 원미로 202,032-653-6131,행복을나누는사람들,사단법인
89,경기,파주시문산종합사회복지관,경기도 파주시 문산읍 통일로 1680 문산행복센터 內,031-934-2000,해피월드복지재단,사회복지법인
90,경기,파주시운정종합사회복지관,경기도 파주시 운정중앙로200 물향기마을 1단지 내,031-957-8253,서영대학교 산학협력단,학교법인
91,경기,판교종합사회복지관,경기도 성남시 분당구 운중로 254,031-703-8100,함께하는한숲,사단법인
92,경기,포천시종합사회복지관,경기도 포천시 군내면 청성로 5 포천종합사회복지관,031-531-4055,대한사회복지회,사회복지법인
93,경기,하남시감일종합사회복지관,경기도 하남시 감일순환로 95-3,02-474-3111,휴먼복지회,사회복지법인
94,경기,하남시미사강변종합사회복지관,"경기도 하남시 아리수로565, 1301동 1층",031-795-1301,하남시민생안정후원회,사단법인
95,경기,하남시종합사회복지관,경기도 하남시 덕풍천서로 9,031-790-2900,홀트아동복지회,사회복지법인
96,경기,하안종합사회복지관,"경기도 광명시 하안로238(하안3동, 200번지, 신관3층)",02-895-4553,나눔과섬김,사단법인
97,경기,한솔종합사회복지관,경기도 성남시 분당구 내정로 94,031-8022-1100,연꽃마을,사회복지법인
98,경기,함현상생종합사회복지관,경기도 시흥시 함송로29번길 67,031-434-8040,상생복지회,사회복지법인(직영)
99,경기,합정종합사회복지관,"경기도 평택시 평택로 22, 관리동",031-655-5337,구세군복지재단,사회복지법인
100,경기,화성시나래울종합사회복지관,경기도 화성시 여울로2길 33,031-8015-7300,일송학원,학교법인
101,경기,화성시남부종합사회복지관,경기도 화성시 향남읍 행정서로 3길 50,031-366-0888,나눔과실천,사단법인
102,경기,화성시동탄어울림종합사회복지관,경기도 화성시 동탄대로시범길 133,031-376-5211,위드캔복지재단,사회복지법인
103,경기,화성시동탄치동천종합사회복지관,경기도 화성시 동탄순환대로 24길 101,031-378-8111,경산복지재단,사회복지법인
104,경기,화성시서부종합사회복지관,경기도 화성시 송산면 사강로145,031-366-7390,천주교 수원교구 사회복지회,사회복지법인
105,경남,(경남)서부종합사회복지관,경남 사천시 곤양면 서정리 998-1,055-831-2482,사천시,지자체(직영)
106,경남,거제시종합사회복지관,경남 거제시 양정1길 45,055-636-0303,거제시희망복지재단,재단법인(직영)
107,경남,거창군종합사회복지관,경남 거창군 거창읍 아림로 66,055-940-8750,거창군,지자체(직영)
108,경남,경남종합사회복지관,경남 창원시 마산회원구 팔용로 272,055-298-8600,인애복지재단,사회복지법인
109,경남,고성군종합사회복지관,경남 고성군 고성읍 동외로 156번길 36,055-670-5913,고성군청,지자체(직영)
110,경남,김해시구산사회복지관,경남 김해시 가락로222(구산동),055-310-8470,김해시복지재단,재단법인
111,경남,김해시종합사회복지관,경남 김해시 분성로 227,055-329-6336,인제대학교 산학협력단,학교법인
112,경남,남해군종합사회복지관,경남 남해군 남해읍 망운로 32,055-860-3819,남해군,지자체(직영)
113,경남,내서종합사회복지관,경남 창원특례시 마산회원구 내서읍 상곡로 49,055-231-8017,통도사자비원,사회복지법인
114,경남,도남사회복지관,경남 통영시 발개로 153 도남사회복지관,055-645-0645,통영YWCA,사단법인
115,경남,동부사회복지관,경남 의령군 부림면 신번로 181,055-570-4739,의령군,지자체(직영)
116,경남,마산종합사회복지관,경남 창원시 마산합포구 월영북로 46,055-223-9980,영신복지재단,사회복지법인
117,경남,밀양시종합사회복지관,경남 밀양시 중앙로 218(삼문동),055-350-1000,나눔과베품,사회복지법인
118,경남,사천시종합사회복지관,경남 사천시 벌리6길 102,055-831-2480,사천시,지자체(직영)
119,경남,삼천포종합사회복지관,경남 사천시 임내길 36,055-834-4195,홍아,사회복지법인
120,경남,상하북종합사회복지관,경남 양산시 상북면 삼계동길 27,055-795-2000,통도사자비원,사회복지법인
121,경남,양산시종합사회복지관,경남 양산시 물금읍 오봉10길 8,055-365-9544,통도사자비원,사회복지법인
122,경남,옥포종합사회복지관,경남 거제시 옥포대첩로 84,055-680-7000,거제시희망복지재단,재단법인
123,경남,웅상종합사회복지관,경남 양산시 덕계7길 26,055-367-7612,양산시복지재단,재단법인(직영)
124,경남,의령군종합사회복지관,경남 의령군 의령읍 의병로8길 44,055-570-2860,의령군,지자체(직영)
125,경남,진주시가좌사회복지관,경남 진주시 가호로 26,055-754-0016,진주시복지재단,재단법인
126,경남,진주시종합사회복지관,경남 진주시 진양호로 476,055-749-2496,진주시,지자체(직영)
127,경남,진주시평거종합사회복지관,경남 진주시 진양호로125번길 4-1,055-746-5480,진주시사회복지협의회,사회복지법인
128,경남,진해자은종합사회복지관,경남 창원시 진해구 진해대로901번길 7(자은동),055-546-9117,드림재단,사회복지법인
129,경남,창원시진해종합사회복지관,경남 창원시 진해구 진해대로 1101,055-540-0100,천주교마산교구 사회복지회,사회복지법인
130,경남,창원종합사회복지관,경남 창원시 의창구 태복산로31번길 16,055-282-3737,마산교구천주교회유지재단,재단법인(직영)
131,경남,통영시종합사회복지관,경남 통영시 안개4길 94,055-640-7700,천주교마산교구사회복지회,사회복지법인
132,경남,하동군종합사회복지관,경남 하동군 하동읍 오룡정길 25-3,055-884-1478,하동군,지자체(직영)
133,경남,함안군종합사회복지관,경남 함안군 칠원면 삼칠로 155,055-580-2457,함안군,지자체(직영)
134,경남,함양군종합사회복지관,경남 함양군 함양읍 필봉산길 55,055-960-5533,함양군,지자체(직영)
135,경남,합천군종합사회복지관,경남 합천군 합천읍 동서로 39,055-930-4924,합천군,지자체(직영)
136,경북,(경북)학산종합사회복지관,경북 포항시 북구 장미길31,054-248-6165,열린가람,사회복지법인
137,경북,경산시백천종합사회복지관,경북 경산시 경청로222길 9-1,053-811-1347,대한불교조계종사회복지재,사회복지법인
138,경북,경주시종합사회복지관,경북 경주시 승삼1길 32,054-771-8107,자선단,사회복지법인
139,경북,구미종합사회복지관,경북 구미시 검성로 103-2,054-472-5060,대구가톨릭사회복지회,사회복지법인
140,경북,금오종합사회복지관,경북 구미시 문장로 110,054-458-0230,대한불교조계종사회복지재단,사회복지법인
141,경북,김천부곡사회복지관,경북 김천시 문지왈길 70,054-439-0160,대구가톨릭사회복지회,사회복지법인
142,경북,문경시종합사회복지관,경북 문경시 매봉4길 25,054-555-0108,대한불교조계종사회복지재단,사회복지법인
143,경북,상주시종합사회복지관,경북 상주시 냉림1길 43-18,054-532-5688,대한불교조계종사회복지재단,사회복지법인
144,경북,성주군종합사회복지관,경북 성주군 성주읍 성주순환로 271-9,054-933-9445,대구가톨릭사회복지회,사회복지법인
145,경북,안동시종합사회복지관,경북 안동시 은행나무로 106-5,054-853-3090,천주교안동교구사회복지회,사회복지법인
146,경북,영주시종합사회복지관,경북 영주시 대학로 130-1,054-639-0500,천주교안동교구사회복지회,사회복지법인
147,경북,영천시종합사회복지관,경북 영천시 충효로 147 4단지,054-332-8418,한국기독교청년회전국연맹유지재단,재단법인
148,경북,창포종합사회복지관,경북 포항시 북구 새천년대로 1075번길 10,054-246-4413,기쁨의복지재단,사회복지법인
149,경북,포항종합사회복지관,경북 포항시 남구 상공로46번길 13,054-281-3111,중앙엘림복지재단,사회복지법인
150,경북,흥덕종합사회복지관,경북 문경시 호서로 154,054-554-3320,한국기독교청년회전국연맹유지재단,재단법인
151,광주,각화종합사회복지관,광주광역시 북구 군왕로207번길6,062-265-1052,무진사회복지법인,사회복지법인
152,광주,금호종합사회복지관,광주광역시 서구 운천로 32번길 23,062-376-3017,삼동회,사회복지법인
153,광주,꿈나무사회복지관,광주광역시 북구 중문로 지하 58,062-419-8040,우성나눔재단,사회복지법인
154,광주,농성빛여울채종합사회복지관,광주광역시 서구 월산로 164-3,062-361-2233,대한불교조계종사회복지재단,사회복지법인
155,광주,동신대학교종합사회복지관,광주광역시 남구 월산로123번길 10,062-369-1324,동원,사회복지법인(직영)
156,광주,두암종합사회복지관,광주광역시 북구 삼정로 7(두암동0,062-266-8183,삼육재단,사회복지법인
157,광주,무등종합사회복지관,광주광역시 북구 삼정로 10,062-268-0093,기독복지회,사회복지법인
158,광주,무진종합사회복지관,광주광역시 서구 천변좌하로 594,062-372-2600,월드비전,사회복지법인(직영)
159,광주,빛고을종합사회복지관,광주광역시 동구 천변좌로 656,062-234-4563,은성복지회,사회복지법인
160,광주,송광종합사회복지관,광주광역시 광산구 우산로 17,062-941-8248,대한불교조계종사회복지재단,사회복지법인
161,광주,시민종합사회복지관,광주광역시 북구 양일로 76-1(양산동),062-571-4100,상록원,사회복지법인(직영)
162,광주,시영종합사회복지관,광주광역시 서구 화정로 87,062-373-0360,대한예수교장로회전남노회유지재단,재단법인
163,광주,쌍촌종합사회복지관,광주광역시 서구 쌍학로47,062-375-0035,인애동산,사회복지법인
164,광주,양지종합사회복지관,광주광역시 남구 제중로 24-10,062-673-1919,양림,사회복지법인
165,광주,오치종합사회복지관,광주광역시 북구 서하로194번길 6,062-263-8200,가톨릭광주사회복지,사회복지법인
166,광주,우산종합사회복지관,광주광역시 북구 중문로 55,062-266-3851,대한불교조계종사회복지재단,사회복지법인
167,광주,인애종합사회복지관,광주광역시 남구 용대로91(봉선동),062-676-5087,인애동산,사회복지법인
168,광주,첨단종합사회복지관,광주광역시 광산구 첨단 중앙로 160 (쌍암동 656-2),062-971-9500,광산구청,지자체(직영)
169,광주,하남종합사회복지관,광주광역시 광산구 월곡산정로 12,062-951-0701,투게더광산나눔문화재단,사회복지법인
170,광주,행복드림종합사회복지관,광주광역시 광산구 용아로 379번길 25-2,062-962-9130,광산구청,사회복지법인(직영)
171,대구,(대구)남구종합사회복지관,대구광역시 남구 중앙대로38길 17,053-476-7700,함께하는마음재단,사회복지법인
172,대구,(대구)서구종합사회복지관,대구광역시 서구 달구벌대로 365길 3,053-563-0777,대구가톨릭사회복지회,사회복지법인
173,대구,(대구)학산종합사회복지관,대구광역시 달서구 월성로77 월성주공2단지 아파트 내 학산종합사회복지관,053-634-7230,대구가톨릭사회복지회,사회복지법인
174,대구,가정종합사회복지관,대구광역시 북구 대동로 10길 9,053-955-8310,가정복지회,사회복지법인(직영)
175,대구,남산기독교종합사회복지관,대구광역시 중구 관덕정길 16,053-257-1244,대구남산복지재단,사회복지법인
176,대구,남산종합사회복지관,대구광역시 중구 남산로7길 80,053-254-2562,대구광역시장애인재활협회,사단법인
177,대구,달서구본동종합사회복지관,"대구광역시 달서구 송현로 113, 본동주공아파트 내",053-854-1666,대구가톨릭사회복지회,사회복지법인
178,대구,달서구성서종합사회복지관,대구광역시 달서구 신당로 56,053-583-1284,전석복지재단,사회복지법인
179,대구,달서구신당종합사회복지관,대구광역시 달서구 신당로 55,053-581-8310,가정복지회,사회복지법인
180,대구,달성군종합사회복지관,대구광역시 달성군 논공읍 논공로 697-9,053-615-9191,대구가톨릭사회복지회,사회복지법인
181,대구,대구종합사회복지관,대구광역시 동구 율하동로26길 67,053-964-3335,어린이재단,사회복지법인(직영)
182,대구,대명사회복지관,대구광역시 남구 양지로 8 (대명동),053-657-1170,무일복지재단,사회복지법인
183,대구,동촌종합사회복지관,대구광역시 동구 입석로 5,053-983-8211,아시아복지재단,사회복지법인(직영)
184,대구,범물종합사회복지관,대구광역시 수성구 범안로 79,053-781-2000,진명복지재단,사회복지법인
185,대구,본리종합사회복지관,대구광역시 달서구 당산로 37-14,053-563-1007,홀트아동복지회,사회복지법인
186,대구,산격종합사회복지관,"대구광역시 북구 연암로 183, 2층 산격종합사회복지관",053-381-9193,대구생명의전화,사회복지법인
187,대구,상인종합사회복지관,대구광역시 달서구 상화로 371,053-641-1100,대구가톨릭사회복지회,사회복지법인
188,대구,서구제일종합사회복지관,대구광역시 서구 옥산로6길 9(원대동),053-353-8310,가정복지회,사회복지법인
189,대구,선린종합사회복지관,대구광역시 북구 관음동로9길 10-25,053-323-2297,선린복지재단,사회복지법인(직영)
190,대구,안심제1종합사회복지관,대구광역시 동구 안심로22길 3,053-962-3831,전석복지재단,사회복지법인
191,대구,안심종합사회복지관,대구광역시 동구 율하동로 76,053-962-4137,대구가톨릭사회복지회,사회복지법인
192,대구,월성종합사회복지관,대구광역시 달서구 학산로7길 39,053-634-4113,대구시사회복지협의회,사회복지법인
193,대구,제일기독종합사회복지관,대구광역시 동구 송라로2길 17-6,053-755-9392,기독교대한감리회 사회복지재단,사회복지법인
194,대구,지산종합사회복지관,대구광역시 수성구 용학로 325,053-781-5156,보림,사회복지법인
195,대구,청곡종합사회복지관,대구광역시 수성구 노변공원로 49-1,053-793-9411,아시아복지재단,사회복지법인(직영)
196,대구,함장종합사회복지관,대구광역시 수성구 들안로19길 48,053-763-1182,화성복지재단,사회복지법인
197,대구,홀트대구종합사회복지관,대구광역시 수성구 달구벌대로 488길 13,053-746-7501,홀트아동복지회,사회복지법인(직영)
198,대구,황금종합사회복지관,대구시 수성구 청수로45길 41,053-768-1252,아시아복지재단,사회복지법인
199,대전,관저종합사회복지관,대전광역시 서구 구봉로13,042-545-6810,성애원,사회복지법인
200,대전,대덕종합사회복지관,대전광역시 대덕구 덕암로 234번길 44,042-936-7343,대전가톨릭사회복지회,사회복지법인
201,대전,대동종합사회복지관,대전광역시 동구 백룡로 48번길 79(대동),042-673-8337,평화의마을,사회복지법인
202,대전,대전기독교종합사회복지관,대전광역시 중구 보문산로 333번길 29,042-586-1500,감리회태화복지재단,사회복지법인
203,대전,대전종합사회복지관,대전광역시 대덕구 우암동로 15번길 20(비래동),042-627-2957,초록우산 어린이재단,사회복지법인
204,대전,둔산종합사회복지관,대전광역시 서구 둔산로 241,042-482-2032,대전광역시사회복지협의회,사회복지법인
205,대전,법동종합사회복지관,대전광역시 대덕구 계족로664번길 27,042-633-0239,자비복지원,사회복지법인
206,대전,보문종합사회복지관,대전광역시 중구 부용로 41번길 55,042-716-1001,대한불교조계종사회복지재단,사회복지법인
207,대전,산내종합사회복지관,대전광역시 동구 산내로 1352-25,042-272-0591,대전벧엘원,사회복지법인
208,대전,생명종합사회복지관,대전광역시 동구 동부로 56-7,042-283-9191,한국생명의전화,사회복지법인
209,대전,성락종합사회복지관,대전광역시 중구 선화로43번길 13,042-255-2278,기독교대한성결교회사회사업유지재단,사회복지법인(직영)
210,대전,송강사회복지관,대전광역시 유성구 봉산로45,042-934-6338,한국침례신학원,학교법인
211,대전,용문종합사회복지관,대전광역시 서구 계룡로 626-1,042-537-0615,미래복지경영,사단법인
212,대전,용운종합사회복지관,대전광역시 동구 용운로 110,042-284-5717,푸른하늘,사회복지법인
213,대전,월평종합사회복지관,"대전광역시 서구 월평북로11, 주공3단지 월평종합사회복지관",042-484-6181,대한예수교장노회 대전노회 유지재단,재단법인
214,대전,유성구종합사회복지관,대전광역시 유성구 도안대로 589번길 27,042-825-3183,대전가톨릭사회복지회,사회복지법인
215,대전,정림종합사회복지관,대전광역시 서구 계백로 1286번길 86,042-584-4451,대한예수교장노회대전노회유지재단,재단법인
216,대전,중리종합사회복지관,대전광역시 대덕구 계족로663번길 34,042-628-1476,삼동회,사회복지법인
217,대전,중촌사회복지관,대전광역시 중구 대전천서로 695,042-221-2577,천성원,사회복지법인
218,대전,판암사회복지관,대전광역시 동구 옥천로 152-9,042-285-1005,열림재단,사회복지법인
219,대전,한밭종합사회복지관,대전광역시 서구 월평북로11,042-484-5325,기독교연합봉사회,사회복지법인
220,부산,(부산)남구종합사회복지관,부산광역시 남구 동제당로 258,051-647-3655,시민이운영하는복지법인 우리마을,사회복지법인
221,부산,(부산)서구종합사회복지관,부산광역시 서구 망양로193번길 104,051-253-1922,로사리오카리타스,사회복지법인
222,부산,(부산)중구종합사회복지관,부산광역시 중구 망양로 309,051-464-3137,로사리오 카리타스,사회복지법인
223,부산,감만종합사회복지관,부산광역시 남구 우암로84-1,051-634-3415,로사리오카리타스,사회복지법인
224,부산,강서구종합사회복지관,부산광역시 강서구 대저로 63번길31(대저동),051-972-4591,YWCA복지사업단,사회복지법인
225,부산,개금종합사회복지관,부산광역시 부산진구 백양관문로77번길 140,051-893-5034,안국,사단법인
226,부산,공창종합사회복지관,부산광역시 북구 효열로 268,051-363-2063,공덕향,사회복지법인
227,부산,구평종합사회복지관,부산광역시 사하구 을숙도대로,051-263-3045,다가세,사단법인
228,부산,금곡종합사회복지관,부산광역시 북구 효열로 144,051-365-2211,자연수복지재단,사회복지법인(직영)
229,부산,금정구종합사회복지관,부산광역시 금정구 반송로 490번길 47(금사회동동),051-532-0115,천혜복지재단,사회복지법인
230,부산,기장종합사회복지관,부산광역시 기장군 기장읍 차성로 206,051-792-4730,기장군도시관리공단,공단(직영)
231,부산,낙동종합사회복지관,부산광역시 강서구 순아강변길 5,051-271-0560,진각복지재단,사회복지법인
232,부산,남광종합사회복지관,부산광역시 금정구 중앙대로 2349번길 3,051-508-1998,남광사회복지회,사회복지법인(직영)
233,부산,남산정종합사회복지관,부산광역시 북구 만덕대로 155번길 86-9,051-342-8206,청록사회복지재단,사회복지법인
234,부산,다대종합사회복지관,부산광역시 사하구 다대로 440,051-264-5420,행복한오늘,사회복지법인
235,부산,다행복한종합사회복지관,부산광역시 기장군 기장읍 차성로 417번길 11,051-792-4990,기장군도시관리공단,공단(직영)
